"Biomarker" "Estimate" "lower95" "upper95" "Pvalue" "UKB.Field.ID" "Description" "group_name" "Phenotype" "Analysis_type" "Design" "Origin" "marker_and_origin" "origin_and_analysis_type" "fill"
"13" "Creatinine" 0.97895359982262 0.850485833898562 1.12682670587547 0.766957481659275 23478 "Creatinine" "Fluid balance" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Creatinine_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"14" "DHA" 0.919708304292925 0.795047344272897 1.06391571656521 0.260052010076996 23450 "Docosahexaenoic Acid" "Fatty acids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "DHA_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"15" "DHA_pct" 0.905910621092151 0.791334884792305 1.03707554055697 0.152061438594398 23457 "Docosahexaenoic Acid to Total Fatty Acids percentage" "Fatty acid ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "DHA_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"16" "Gln" 0.97788203116009 0.85309986684964 1.12091597247233 0.748118603173184 23461 "Glutamine" "Amino acids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Gln_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"17" "Glucose" 1.00019780788559 0.874990052007936 1.14332231846914 0.997687269169946 20280 "Glucose" "Glycolysis related metabolites" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Glucose_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"18" "Gly" 0.963879109572779 0.844324148929424 1.1003628630649 0.586107389846585 23462 "Glycine" "Amino acids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Gly_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"19" "GlycA" 1.10040876244043 0.953072576821772 1.27052175658405 0.192024906138963 23480 "Glycoprotein Acetyls" "Inflammation" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "GlycA_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"20" "Glycerol" 1.05658204102192 0.917983476498565 1.2161064310963 0.4429839011388 NA NA NA "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Glycerol_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"21" "HDL_C" 0.985448294579827 0.857946492297149 1.13189849251572 0.835730872290642 23406 "HDL Cholesterol" "Cholesterol" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "HDL_C_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"22" "HDL_CE" 0.978186583887624 0.852001801222188 1.12305982396416 0.754293242247146 23418 "Cholesteryl Esters in HDL" "Cholesteryl esters" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "HDL_CE_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"23" "HDL_FC" 1.00877528656826 0.877712894371794 1.15940825902896 0.902073116466632 23422 "Free Cholesterol in HDL" "Free cholesterol" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "HDL_FC_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"24" "HDL_L" 1.00971262875632 0.878815893391206 1.16010600210681 0.891470869137858 23426 "Total Lipids in HDL" "Total lipids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "HDL_L_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"25" "HDL_P" 0.961663990616515 0.836580533855246 1.10544961712975 0.582432327158854 23430 "Concentration of HDL Particles" "Lipoprotein particle concentrations" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "HDL_P_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"26" "HDL_PL" 1.017669769194 0.886498404760945 1.1682499974838 0.803529894098917 23414 "Phospholipids in HDL" "Phospholipids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "HDL_PL_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"27" "HDL_size" 1.05291802762885 0.917182645998195 1.20874111360804 0.463991586355954 23433 "Average Diameter for HDL Particles" "Lipoprotein particle sizes" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "HDL_size_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"28" "HDL_TG" 1.06550419906001 0.930329008831539 1.22032010980761 0.35933145650769 23410 "Triglycerides in HDL" "Triglycerides" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "HDL_TG_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"29" "His" 1.02401432074632 0.896309975435413 1.1699137104707 0.726952192090004 23463 "Histidine" "Amino acids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "His_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"30" "IDL_C" 0.947402127435379 0.823662743087231 1.08973095918462 0.449270444429049 23526 "Cholesterol in IDL" "IDL (average diameter 28.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_C_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"31" "IDL_C_pct" 0.942479763737276 0.828658517816622 1.07193504435906 0.366987477875496 23610 "Cholesterol to Total Lipids in IDL percentage" "IDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_C_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"32" "IDL_CE" 0.947574306136303 0.823506531091722 1.09033387319874 0.451996072520191 23527 "Cholesteryl Esters in IDL" "IDL (average diameter 28.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_CE_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"33" "IDL_CE_pct" 0.94931891996036 0.831601766573454 1.08369949177483 0.441311092517538 23611 "Cholesteryl Esters to Total Lipids in IDL percentage" "IDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_CE_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"34" "IDL_FC" 0.938112183503506 0.816609581675927 1.07769304767595 0.36667882675787 23528 "Free Cholesterol in IDL" "IDL (average diameter 28.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_FC_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"35" "IDL_FC_pct" 0.965131834938313 0.850370942620142 1.09538015955877 0.582673703592708 23612 "Free Cholesterol to Total Lipids in IDL percentage" "IDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_FC_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"36" "IDL_L" 0.95678534743581 0.830155209547244 1.10273138148122 0.541935137444309 23524 "Total Lipids in IDL" "IDL (average diameter 28.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_L_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"37" "IDL_P" 0.959672826721467 0.833804923993342 1.10454125161166 0.566076747192787 23523 "Concentration of IDL Particles" "IDL (average diameter 28.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_P_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"38" "IDL_PL" 0.948314991327601 0.823412198718527 1.09216419695536 0.46144055547243 23525 "Phospholipids in IDL" "IDL (average diameter 28.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_PL_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"39" "IDL_PL_pct" 0.968758419333498 0.850905516438922 1.10293429399444 0.631520877807882 23609 "Phospholipids to Total Lipids in IDL percentage" "IDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_PL_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"40" "IDL_TG" 1.07244681712447 0.933277993746753 1.23236825818964 0.324004916767917 23529 "Triglycerides in IDL" "IDL (average diameter 28.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_TG_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"41" "IDL_TG_pct" 1.10339662712292 0.968175751518535 1.25750321141247 0.140185274944909 23613 "Triglycerides to Total Lipids in IDL percentage" "IDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "IDL_TG_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"42" "Ile" 0.988691707642171 0.868955632124368 1.12492658614875 0.862910457017945 23465 "Isoleucine" "Branched-chain amino acids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Ile_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"43" "L_HDL_C" 1.00133361776681 0.871879438354236 1.15000878557547 0.984945975856782 23561 "Cholesterol in Large HDL" "Large HDL (average diameter 12.1 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_C_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"44" "L_HDL_C_pct" 0.99574182013532 0.894225565133268 1.10878262826073 0.938002914702004 23635 "Cholesterol to Total Lipids in Large HDL percentage" "Large HDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_C_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"45" "L_HDL_CE" 0.996778757197651 0.867835431475318 1.14488053237401 0.963589417848998 23562 "Cholesteryl Esters in Large HDL" "Large HDL (average diameter 12.1 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_CE_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"46" "L_HDL_CE_pct" 0.98592798839866 0.88738003307394 1.09542018309852 0.791965055085012 23636 "Cholesteryl Esters to Total Lipids in Large HDL percentage" "Large HDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_CE_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"47" "L_HDL_FC" 1.0165156332139 0.886135897211591 1.16607851664712 0.81506712381313 23563 "Free Cholesterol in Large HDL" "Large HDL (average diameter 12.1 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_FC_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"48" "L_HDL_FC_pct" 1.05273685527452 0.902552400194554 1.2279119596983 0.512843361644722 23637 "Free Cholesterol to Total Lipids in Large HDL percentage" "Large HDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_FC_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"49" "L_HDL_L" 1.01655174856126 0.885375641870668 1.16716273707235 0.815850714477043 23559 "Total Lipids in Large HDL" "Large HDL (average diameter 12.1 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_L_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"50" "L_HDL_P" 1.013667312778 0.883730597115889 1.16270888927911 0.846212713601534 23558 "Concentration of Large HDL Particles" "Large HDL (average diameter 12.1 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_P_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"51" "L_HDL_PL" 1.02398763044043 0.892788391407572 1.17446718325029 0.734722225176576 23560 "Phospholipids in Large HDL" "Large HDL (average diameter 12.1 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_PL_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"52" "L_HDL_PL_pct" 1.10665335780279 0.889570357885011 1.37671140172423 0.363018981321177 23634 "Phospholipids to Total Lipids in Large HDL percentage" "Large HDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_PL_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"53" "L_HDL_TG" 1.06532688851245 0.931586470167345 1.21826734901349 0.355187068531054 23564 "Triglycerides in Large HDL" "Large HDL (average diameter 12.1 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_TG_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"54" "L_HDL_TG_pct" 1.04991609606938 0.914623320997926 1.20522162892462 0.488906779885637 23638 "Triglycerides to Total Lipids in Large HDL percentage" "Large HDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_HDL_TG_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"55" "L_LDL_C" 0.929472313574135 0.808874832142731 1.0680500213022 0.302313578384403 23533 "Cholesterol in Large LDL" "Large LDL (average diameter 25.5 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_C_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"56" "L_LDL_C_pct" 0.914501147995571 0.824524325675634 1.01429675710286 0.0907732999699859 23615 "Cholesterol to Total Lipids in Large LDL percentage" "Large LDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_C_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"57" "L_LDL_CE" 0.929262528304665 0.80817318579388 1.06849479998884 0.303052341091472 23534 "Cholesteryl Esters in Large LDL" "Large LDL (average diameter 25.5 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_CE_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"58" "L_LDL_CE_pct" 0.89320793025141 0.799432101215087 0.997983950671195 0.045974823706676 23616 "Cholesteryl Esters to Total Lipids in Large LDL percentage" "Large LDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_CE_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "sig"
"59" "L_LDL_FC" 0.921758761951055 0.803616783662248 1.05726912691091 0.244346503664384 23535 "Free Cholesterol in Large LDL" "Large LDL (average diameter 25.5 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_FC_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"60" "L_LDL_FC_pct" 0.963565684575091 0.84623769074268 1.09716080794726 0.575307630701069 23617 "Free Cholesterol to Total Lipids in Large LDL percentage" "Large LDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_FC_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"61" "L_LDL_L" 0.938490147554893 0.815507689772118 1.08001894783325 0.375712123385081 23531 "Total Lipids in Large LDL" "Large LDL (average diameter 25.5 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_L_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"62" "L_LDL_P" 0.951455378241363 0.828100323862977 1.0931855847628 0.482436515185825 23530 "Concentration of Large LDL Particles" "Large LDL (average diameter 25.5 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_P_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"63" "L_LDL_PL" 0.939761963277681 0.817308987522101 1.08056140469107 0.383088976657201 23532 "Phospholipids in Large LDL" "Large LDL (average diameter 25.5 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_PL_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"64" "L_LDL_PL_pct" 1.08271181153805 0.938705173724438 1.2488104888065 0.275132242022186 23614 "Phospholipids to Total Lipids in Large LDL percentage" "Large LDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_PL_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"65" "L_LDL_TG" 1.07966256562103 0.939414119031775 1.24084919737507 0.280304847646644 23536 "Triglycerides in Large LDL" "Large LDL (average diameter 25.5 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_TG_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"66" "L_LDL_TG_pct" 1.11980839310388 0.98654132533945 1.27107786066075 0.0800551341170386 23618 "Triglycerides to Total Lipids in Large LDL percentage" "Large LDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_LDL_TG_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"67" "L_VLDL_C" 1.03964738777413 0.905909292877226 1.19312904658773 0.579966478794558 23498 "Cholesterol in Large VLDL" "Large VLDL (average diameter 53.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_C_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"68" "L_VLDL_C_pct" 0.935338483205176 0.821851705620115 1.06449627369751 0.311107112346766 23590 "Cholesterol to Total Lipids in Large VLDL percentage" "Large VLDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_C_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"69" "L_VLDL_CE" 1.024119151349 0.892107418486095 1.17566563670063 0.734997131573136 23499 "Cholesteryl Esters in Large VLDL" "Large VLDL (average diameter 53.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_CE_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"70" "L_VLDL_CE_pct" 0.926356076066753 0.810140784186783 1.05924253711926 0.263369743454473 23591 "Cholesteryl Esters to Total Lipids in Large VLDL percentage" "Large VLDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_CE_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"71" "L_VLDL_FC" 1.06072702352921 0.926628713990045 1.21423154868609 0.392593476078412 23500 "Free Cholesterol in Large VLDL" "Large VLDL (average diameter 53.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_FC_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"72" "L_VLDL_FC_pct" 0.961485748528487 0.850852270393498 1.08650452821363 0.5288730174354 23592 "Free Cholesterol to Total Lipids in Large VLDL percentage" "Large VLDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_FC_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"73" "L_VLDL_L" 1.05917842184433 0.923617737273168 1.21463554025365 0.410611940652754 23496 "Total Lipids in Large VLDL" "Large VLDL (average diameter 53.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_L_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"74" "L_VLDL_P" 1.07730239509529 0.944371916275829 1.22894426494049 0.267793813537821 23495 "Concentration of Large VLDL Particles" "Large VLDL (average diameter 53.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_P_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"75" "L_VLDL_PL" 1.06756289256043 0.933372194251905 1.2210461556394 0.340125784464232 23497 "Phospholipids in Large VLDL" "Large VLDL (average diameter 53.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_PL_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"76" "L_VLDL_PL_pct" 0.991997878652512 0.867498101303019 1.13436535454427 0.906527006825129 23589 "Phospholipids to Total Lipids in Large VLDL percentage" "Large VLDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_PL_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"77" "L_VLDL_TG" 1.07803615095713 0.944940050775377 1.22987901911538 0.263730889563866 23501 "Triglycerides in Large VLDL" "Large VLDL (average diameter 53.6 nm)" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_TG_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"78" "L_VLDL_TG_pct" 0.98396695642567 0.879370538215316 1.10100455867278 0.778039133478271 23593 "Triglycerides to Total Lipids in Large VLDL percentage" "Large VLDL ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "L_VLDL_TG_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"79" "LA" 1.00453829145165 0.873647391195923 1.1550394234123 0.949312718494018 23449 "Linoleic Acid" "Fatty acids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LA_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"80" "LA_pct" 0.951425550289241 0.830458212042398 1.09001339816599 0.472948907048831 23456 "Linoleic Acid to Total Fatty Acids percentage" "Fatty acid ratios" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LA_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"81" "Lactate" 1.08949949341093 0.958651614787145 1.23820700641728 0.189151474019402 23471 "Lactate" "Glycolysis related metabolites" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "Lactate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"82" "LDL_C" 0.942017985981123 0.819084654721999 1.08340191797772 0.40248433546812 23405 "LDL Cholesterol" "Cholesterol" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LDL_C_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"83" "LDL_CE" 0.945684713447406 0.821563307038348 1.08855832482591 0.436604776819682 23417 "Cholesteryl Esters in LDL" "Cholesteryl esters" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LDL_CE_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"84" "LDL_FC" 0.925636982543608 0.807300614138556 1.06131942481761 0.268197660154919 23421 "Free Cholesterol in LDL" "Free cholesterol" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LDL_FC_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"85" "LDL_L" 0.950289915337248 0.825079924216379 1.09450114672145 0.47936784091192 23425 "Total Lipids in LDL" "Total lipids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LDL_L_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"86" "LDL_P" 0.967320791413319 0.84154970533765 1.11188858788212 0.640120547799302 23429 "Concentration of LDL Particles" "Lipoprotein particle concentrations" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LDL_P_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"87" "LDL_PL" 0.95132262960106 0.8268762351865 1.09449843529117 0.485410073575752 23413 "Phospholipids in LDL" "Phospholipids" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LDL_PL_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"88" "LDL_size" 0.906756367271019 0.801862646794172 1.02537150579803 0.118638291296259 23432 "Average Diameter for LDL Particles" "Lipoprotein particle sizes" "BC" "Adjusted" "healthy_noncancer_control" "HUNT_All" "LDL_size_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
