"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"IDL_PL","Phospholipids in IDL","BC","0.956(95% CI:0.843-1.085; P=0.4894497094)","1.001(95% CI:0.979-1.023; P=0.9486091353)","0.984(95% CI:0.857-1.131; P=0.8225934604)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"IDL_TG","Triglycerides in IDL","BC","1.078(95% CI:0.952-1.22; P=0.2346740911)","1.036(95% CI:1.014-1.059; P=0.0014140361)","1.097(95% CI:0.96-1.253; P=0.1741648271)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Ile","Isoleucine","BC","0.982(95% CI:0.875-1.103; P=0.7636134289)","1.028(95% CI:1.006-1.05; P=0.0108987345)","1.04(95% CI:0.911-1.188; P=0.5622660491)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_HDL_C","Cholesterol in Large HDL","BC","0.968(95% CI:0.862-1.086; P=0.5763989089)","0.969(95% CI:0.948-0.99; P=0.004607405)","0.946(95% CI:0.825-1.084; P=0.4228313538)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_HDL_CE","Cholesteryl Esters in Large HDL","BC","0.963(95% CI:0.858-1.082; P=0.5283145027)","0.968(95% CI:0.947-0.989; P=0.003427719)","0.94(95% CI:0.82-1.078; P=0.3776796417)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_HDL_FC","Free Cholesterol in Large HDL","BC","0.979(95% CI:0.871-1.1; P=0.7167955028)","0.973(95% CI:0.952-0.994; P=0.0131016215)","0.959(95% CI:0.837-1.1; P=0.5535688374)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_HDL_PL","Phospholipids in Large HDL","BC","0.991(95% CI:0.882-1.114; P=0.8821535084)","0.975(95% CI:0.954-0.997; P=0.0245693646)","0.975(95% CI:0.851-1.117; P=0.7178951855)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_HDL_TG","Triglycerides in Large HDL","BC","1.065(95% CI:0.941-1.205; P=0.317067822)","1.003(95% CI:0.982-1.026; P=0.7646233814)","1.071(95% CI:0.938-1.223; P=0.3107946648)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_LDL_C","Cholesterol in Large LDL","BC","0.942(95% CI:0.831-1.067; P=0.3455059925)","1(95% CI:0.978-1.023; P=0.9809440415)","0.979(95% CI:0.853-1.124; P=0.7644786383)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_LDL_CE","Cholesteryl Esters in Large LDL","BC","0.943(95% CI:0.832-1.069; P=0.3607849607)","1.002(95% CI:0.981-1.025; P=0.8250500386)","0.983(95% CI:0.856-1.13; P=0.811749161)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_LDL_FC","Free Cholesterol in Large LDL","BC","0.93(95% CI:0.822-1.051; P=0.2438885058)","0.993(95% CI:0.971-1.015; P=0.5235505491)","0.956(95% CI:0.833-1.096; P=0.5174535521)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_LDL_PL","Phospholipids in Large LDL","BC","0.95(95% CI:0.838-1.076; P=0.4193304178)","1.004(95% CI:0.982-1.026; P=0.7384308709)","0.981(95% CI:0.854-1.127; P=0.7869181812)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_LDL_TG","Triglycerides in Large LDL","BC","1.081(95% CI:0.955-1.224; P=0.2152206384)","1.037(95% CI:1.014-1.059; P=0.0011811261)","1.1(95% CI:0.963-1.257; P=0.1602129399)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_VLDL_C","Cholesterol in Large VLDL","BC","1.053(95% CI:0.936-1.185; P=0.3892775781)","1.027(95% CI:1.004-1.049; P=0.0184873508)","1.096(95% CI:0.958-1.253; P=0.1833287168)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","BC","1.036(95% CI:0.92-1.168; P=0.5559155515)","1.022(95% CI:1-1.045; P=0.0518976157)","1.078(95% CI:0.942-1.234; P=0.2767826803)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_VLDL_FC","Free Cholesterol in Large VLDL","BC","1.072(95% CI:0.956-1.203; P=0.2360874808)","1.03(95% CI:1.008-1.053; P=0.006780806)","1.114(95% CI:0.977-1.271; P=0.1079919069)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_VLDL_PL","Phospholipids in Large VLDL","BC","1.079(95% CI:0.962-1.209; P=0.1928733329)","1.032(95% CI:1.01-1.054; P=0.0048261094)","1.12(95% CI:0.983-1.276; P=0.0893625528)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"L_VLDL_TG","Triglycerides in Large VLDL","BC","1.089(95% CI:0.973-1.218; P=0.1377611998)","1.031(95% CI:1.009-1.053; P=0.006062636)","1.137(95% CI:1-1.293; P=0.0506583405)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"LA","Linoleic Acid","BC","0.989(95% CI:0.873-1.121; P=0.8671193036)","0.997(95% CI:0.976-1.02; P=0.8209905803)","1.03(95% CI:0.897-1.184; P=0.6727573135)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Lactate","Lactate","BC","1.08(95% CI:0.963-1.211; P=0.1873031074)","1.035(95% CI:1.012-1.058; P=0.0031185167)","1.126(95% CI:0.988-1.285; P=0.0757037621)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"LDL_C","LDL Cholesterol","BC","0.954(95% CI:0.841-1.081; P=0.4602866402)","1.005(95% CI:0.983-1.028; P=0.6484227013)","0.991(95% CI:0.863-1.139; P=0.9033759959)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"LDL_CE","Cholesteryl Esters in LDL","BC","0.959(95% CI:0.846-1.088; P=0.5191380586)","1.008(95% CI:0.986-1.031; P=0.468813151)","1(95% CI:0.87-1.149; P=0.9970847463)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"LDL_FC","Free Cholesterol in LDL","BC","0.933(95% CI:0.825-1.055; P=0.2672384394)","0.996(95% CI:0.974-1.018; P=0.697160219)","0.96(95% CI:0.837-1.101; P=0.557193604)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"LDL_L","Total Lipids in LDL","BC","0.961(95% CI:0.847-1.092; P=0.5437184678)","1.008(95% CI:0.986-1.031; P=0.4683812562)","0.999(95% CI:0.869-1.149; P=0.9918258256)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"LDL_PL","Phospholipids in LDL","BC","0.96(95% CI:0.846-1.088; P=0.5216287832)","1.008(95% CI:0.986-1.03; P=0.5032368097)","0.992(95% CI:0.863-1.14; P=0.9125460225)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"LDL_TG","Triglycerides in LDL","BC","1.085(95% CI:0.96-1.226; P=0.1930013876)","1.037(95% CI:1.015-1.06; P=0.000923902)","1.106(95% CI:0.969-1.263; P=0.1360105862)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Leu","Leucine","BC","1.019(95% CI:0.909-1.142; P=0.7505750941)","1.028(95% CI:1.007-1.05; P=0.0100860372)","1.084(95% CI:0.951-1.235; P=0.2265347246)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_HDL_C","Cholesterol in Medium HDL","BC","0.983(95% CI:0.874-1.106; P=0.7768046787)","0.986(95% CI:0.964-1.007; P=0.1921306705)","0.988(95% CI:0.863-1.132; P=0.861857503)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_HDL_CE","Cholesteryl Esters in Medium HDL","BC","0.98(95% CI:0.872-1.102; P=0.7349067999)","0.985(95% CI:0.964-1.007; P=0.1773092163)","0.983(95% CI:0.858-1.126; P=0.8026922528)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_HDL_FC","Free Cholesterol in Medium HDL","BC","0.994(95% CI:0.881-1.121; P=0.9169783036)","0.989(95% CI:0.968-1.011; P=0.3386348963)","1.004(95% CI:0.875-1.15; P=0.9597733426)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_HDL_PL","Phospholipids in Medium HDL","BC","1.028(95% CI:0.911-1.16; P=0.6572408995)","1(95% CI:0.979-1.022; P=0.9920786158)","1.052(95% CI:0.918-1.205; P=0.4667452906)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_HDL_TG","Triglycerides in Medium HDL","BC","1.088(95% CI:0.967-1.223; P=0.1612041609)","1.029(95% CI:1.007-1.052; P=0.0096033609)","1.118(95% CI:0.982-1.273; P=0.0929645897)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_LDL_C","Cholesterol in Medium LDL","BC","0.975(95% CI:0.86-1.105; P=0.689214712)","1.014(95% CI:0.991-1.036; P=0.2342815159)","1.011(95% CI:0.88-1.161; P=0.8813073744)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_LDL_CE","Cholesteryl Esters in Medium LDL","BC","0.99(95% CI:0.874-1.121; P=0.8722011314)","1.018(95% CI:0.996-1.041; P=0.1159672068)","1.027(95% CI:0.894-1.18; P=0.7031674632)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_LDL_FC","Free Cholesterol in Medium LDL","BC","0.934(95% CI:0.826-1.056; P=0.2764658878)","1(95% CI:0.979-1.023; P=0.9670103344)","0.961(95% CI:0.837-1.103; P=0.5707341754)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_LDL_PL","Phospholipids in Medium LDL","BC","0.97(95% CI:0.856-1.099; P=0.6275641353)","1.012(95% CI:0.99-1.035; P=0.2838324809)","1.004(95% CI:0.874-1.154; P=0.9545380184)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_LDL_TG","Triglycerides in Medium LDL","BC","1.088(95% CI:0.965-1.226; P=0.1670036803)","1.037(95% CI:1.015-1.06; P=0.0009590018)","1.108(95% CI:0.972-1.262; P=0.124564894)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_VLDL_C","Cholesterol in Medium VLDL","BC","0.962(95% CI:0.85-1.089; P=0.5435910642)","1.004(95% CI:0.982-1.027; P=0.7051417559)","0.994(95% CI:0.866-1.141; P=0.9317214512)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_VLDL_CE","Cholesteryl Esters in Medium VLDL","BC","0.942(95% CI:0.833-1.064; P=0.3349622979)","0.997(95% CI:0.975-1.019; P=0.7792496204)","0.965(95% CI:0.842-1.108; P=0.6163207613)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_VLDL_FC","Free Cholesterol in Medium VLDL","BC","0.99(95% CI:0.875-1.12; P=0.8711588606)","1.014(95% CI:0.992-1.036; P=0.2259950838)","1.028(95% CI:0.895-1.18; P=0.6971616388)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_VLDL_PL","Phospholipids in Medium VLDL","BC","1.007(95% CI:0.891-1.14; P=0.9066439301)","1.017(95% CI:0.995-1.04; P=0.1376356264)","1.046(95% CI:0.912-1.201; P=0.5203340218)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"M_VLDL_TG","Triglycerides in Medium VLDL","BC","1.068(95% CI:0.95-1.2; P=0.2724510365)","1.029(95% CI:1.007-1.052; P=0.0102538481)","1.118(95% CI:0.979-1.277; P=0.1009244076)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"MUFA","Monounsaturated Fatty Acids","BC","1.072(95% CI:0.948-1.213; P=0.2662200961)","1.04(95% CI:1.017-1.063; P=0.0005539605)","1.125(95% CI:0.982-1.288; P=0.0906350146)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"non_HDL_C","Total Cholesterol Minus HDL-C","BC","0.968(95% CI:0.852-1.099; P=0.6133602198)","1.008(95% CI:0.986-1.031; P=0.4726336703)","1.006(95% CI:0.875-1.157; P=0.9294724764)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Omega_3","Omega-3 Fatty Acids","BC","0.956(95% CI:0.837-1.093; P=0.5125348992)","1.002(95% CI:0.979-1.025; P=0.8925248884)","0.974(95% CI:0.842-1.127; P=0.7213657927)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Omega_6","Omega-6 Fatty Acids","BC","0.991(95% CI:0.872-1.127; P=0.8961634342)","1.002(95% CI:0.98-1.024; P=0.8784675449)","1.038(95% CI:0.902-1.194; P=0.6037512616)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Phe","Phenylalanine","BC","1.036(95% CI:0.92-1.168; P=0.5596101127)","1.011(95% CI:0.989-1.033; P=0.3207652402)","1.031(95% CI:0.9-1.183; P=0.6569193984)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Phosphatidylc","Phosphatidylcholines","BC","0.997(95% CI:0.872-1.139; P=0.9635201287)","1.003(95% CI:0.981-1.026; P=0.773705202)","1.046(95% CI:0.907-1.206; P=0.5375001362)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Phosphoglyc","Phosphoglycerides","BC","1.001(95% CI:0.876-1.144; P=0.984986028)","1.008(95% CI:0.986-1.031; P=0.4918545424)","1.051(95% CI:0.911-1.212; P=0.4954842861)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"PUFA","Polyunsaturated Fatty Acids","BC","0.977(95% CI:0.855-1.118; P=0.7386423191)","1.001(95% CI:0.979-1.024; P=0.9114781162)","1.024(95% CI:0.887-1.182; P=0.7483964568)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Pyruvate","Pyruvate","BC","1.142(95% CI:1.027-1.27; P=0.013918778)","1.031(95% CI:1.009-1.053; P=0.0050511505)","1.196(95% CI:1.062-1.347; P=0.0031588068)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Remnant_C","Remnant Cholesterol (Non-HDL and Non-LDL -Cholesterol)","BC","0.982(95% CI:0.864-1.116; P=0.7851962108)","1.011(95% CI:0.989-1.033; P=0.3445608606)","1.019(95% CI:0.886-1.172; P=0.789220163)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_HDL_C","Cholesterol in Small HDL","BC","0.958(95% CI:0.848-1.081; P=0.4850010567)","1.012(95% CI:0.99-1.034; P=0.2976517574)","1.011(95% CI:0.881-1.161; P=0.8772792336)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_HDL_CE","Cholesteryl Esters in Small HDL","BC","0.947(95% CI:0.84-1.067; P=0.369454785)","1.01(95% CI:0.988-1.032; P=0.370258035)","0.997(95% CI:0.87-1.143; P=0.9672153828)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_HDL_FC","Free Cholesterol in Small HDL","BC","1.002(95% CI:0.88-1.14; P=0.9768844222)","1.015(95% CI:0.992-1.037; P=0.1965619322)","1.049(95% CI:0.911-1.208; P=0.503731853)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_HDL_PL","Phospholipids in Small HDL","BC","1.028(95% CI:0.909-1.163; P=0.662153141)","1.025(95% CI:1.002-1.047; P=0.0295824286)","1.092(95% CI:0.952-1.253; P=0.2093331192)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_HDL_TG","Triglycerides in Small HDL","BC","1.085(95% CI:0.967-1.217; P=0.1657140831)","1.039(95% CI:1.017-1.062; P=0.0005295844)","1.119(95% CI:0.982-1.275; P=0.091993065)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_LDL_C","Cholesterol in Small LDL","BC","0.974(95% CI:0.86-1.102; P=0.6722420024)","1.011(95% CI:0.989-1.033; P=0.3507111757)","1.005(95% CI:0.875-1.154; P=0.9411933158)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_LDL_CE","Cholesteryl Esters in Small LDL","BC","0.989(95% CI:0.874-1.12; P=0.864847291)","1.015(95% CI:0.993-1.037; P=0.1904926992)","1.024(95% CI:0.892-1.176; P=0.7390853341)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_LDL_FC","Free Cholesterol in Small LDL","BC","0.932(95% CI:0.825-1.052; P=0.2553461867)","0.998(95% CI:0.977-1.02; P=0.8847706134)","0.952(95% CI:0.83-1.092; P=0.4802615544)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_LDL_PL","Phospholipids in Small LDL","BC","0.977(95% CI:0.863-1.107; P=0.7197315025)","1.012(95% CI:0.99-1.034; P=0.3016439979)","1.001(95% CI:0.872-1.15; P=0.9850986478)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_LDL_TG","Triglycerides in Small LDL","BC","1.092(95% CI:0.975-1.223; P=0.128309534)","1.036(95% CI:1.014-1.058; P=0.0012470957)","1.118(95% CI:0.985-1.27; P=0.0852569044)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_VLDL_C","Cholesterol in Small VLDL","BC","0.989(95% CI:0.874-1.12; P=0.8646621196)","1.019(95% CI:0.997-1.042; P=0.0920789395)","1.018(95% CI:0.886-1.169; P=0.8004775821)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_VLDL_CE","Cholesteryl Esters in Small VLDL","BC","0.996(95% CI:0.88-1.127; P=0.9484956436)","1.022(95% CI:0.999-1.044; P=0.0558071478)","1.022(95% CI:0.89-1.173; P=0.7573736808)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_VLDL_FC","Free Cholesterol in Small VLDL","BC","0.978(95% CI:0.864-1.108; P=0.7293732955)","1.014(95% CI:0.992-1.037; P=0.2063898822)","1.01(95% CI:0.879-1.16; P=0.8912908938)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_VLDL_PL","Phospholipids in Small VLDL","BC","1.001(95% CI:0.884-1.133; P=0.9874488981)","1.021(95% CI:0.999-1.044; P=0.0668854802)","1.035(95% CI:0.901-1.188; P=0.6278921536)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"S_VLDL_TG","Triglycerides in Small VLDL","BC","1.079(95% CI:0.96-1.213; P=0.2021350143)","1.034(95% CI:1.012-1.057; P=0.0027076886)","1.117(95% CI:0.979-1.274; P=0.1009470696)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"SFA","Saturated Fatty Acids","BC","1.068(95% CI:0.94-1.214; P=0.3109595483)","1.037(95% CI:1.014-1.06; P=0.001416422)","1.111(95% CI:0.968-1.276; P=0.135595178)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Sphingomyelins","Sphingomyelins","BC","0.951(95% CI:0.837-1.081; P=0.4413227268)","0.997(95% CI:0.976-1.02; P=0.82262625)","0.972(95% CI:0.844-1.119; P=0.692778501)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Total_C","Total Cholesterol","BC","0.959(95% CI:0.844-1.089; P=0.5195979539)","1(95% CI:0.978-1.022; P=0.9755783759)","0.996(95% CI:0.867-1.146; P=0.9605505876)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Total_CE","Total Esterified Cholesterol","BC","0.955(95% CI:0.841-1.084; P=0.4757709675)","0.998(95% CI:0.976-1.02; P=0.8563535013)","0.991(95% CI:0.862-1.139; P=0.8975508743)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Total_FA","Total Fatty Acids","BC","1.042(95% CI:0.914-1.187; P=0.5431559223)","1.028(95% CI:1.005-1.052; P=0.0154661986)","1.091(95% CI:0.948-1.257; P=0.2253991639)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Total_FC","Total Free Cholesterol","BC","0.967(95% CI:0.851-1.099; P=0.6112178097)","1.003(95% CI:0.981-1.026; P=0.7754146347)","1.005(95% CI:0.874-1.156; P=0.9458456129)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Total_L","Total Lipids in Lipoprotein Particles","BC","1.001(95% CI:0.877-1.141; P=0.9928207839)","1.014(95% CI:0.992-1.037; P=0.2221594791)","1.05(95% CI:0.911-1.211; P=0.4989924886)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Total_PL","Total Phospholipids in Lipoprotein Particles","BC","0.999(95% CI:0.876-1.14; P=0.992863448)","1.008(95% CI:0.985-1.03; P=0.5113387261)","1.046(95% CI:0.908-1.206; P=0.5328562847)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Total_TG","Total Triglycerides","BC","1.087(95% CI:0.966-1.223; P=0.1669324896)","1.037(95% CI:1.014-1.06; P=0.001159081)","1.128(95% CI:0.986-1.289; P=0.0784236663)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
