"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"L_VLDL_TG","Triglycerides in Large VLDL","BC","1.081(95% CI:0.947-1.234; P=0.249196887)","1.018(95% CI:0.994-1.042; P=0.1401562348)","1.133(95% CI:0.977-1.314; P=0.0986088633)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"LA","Linoleic Acid","BC","1.006(95% CI:0.875-1.157; P=0.9341408438)","1.002(95% CI:0.979-1.025; P=0.8873858345)","1.036(95% CI:0.89-1.207; P=0.6462052084)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Lactate","Lactate","BC","1.09(95% CI:0.959-1.239; P=0.1867764926)","1.025(95% CI:1.002-1.05; P=0.0349058053)","1.145(95% CI:0.99-1.325; P=0.0682063168)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"LDL_C","LDL Cholesterol","BC","0.943(95% CI:0.82-1.085; P=0.4116137164)","1.003(95% CI:0.98-1.026; P=0.8063120833)","0.989(95% CI:0.85-1.151; P=0.8899172559)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"LDL_CE","Cholesteryl Esters in LDL","BC","0.947(95% CI:0.823-1.09; P=0.4467233872)","1.004(95% CI:0.982-1.027; P=0.7127488435)","0.995(95% CI:0.854-1.159; P=0.9487072288)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"LDL_FC","Free Cholesterol in LDL","BC","0.926(95% CI:0.808-1.062; P=0.2744619004)","0.997(95% CI:0.975-1.02; P=0.8253412011)","0.964(95% CI:0.83-1.12; P=0.6340557224)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"LDL_L","Total Lipids in LDL","BC","0.951(95% CI:0.826-1.096; P=0.4890041675)","1.004(95% CI:0.982-1.028; P=0.7017846805)","0.996(95% CI:0.855-1.16; P=0.9568959481)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"LDL_PL","Phospholipids in LDL","BC","0.952(95% CI:0.828-1.096; P=0.4958700355)","1.004(95% CI:0.981-1.027; P=0.7482401057)","0.992(95% CI:0.852-1.155; P=0.9185270183)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"LDL_TG","Triglycerides in LDL","BC","1.085(95% CI:0.945-1.247; P=0.2461692139)","1.02(95% CI:0.997-1.044; P=0.0870766897)","1.085(95% CI:0.934-1.259; P=0.2860982155)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Leu","Leucine","BC","1.025(95% CI:0.902-1.164; P=0.7068051107)","1.019(95% CI:0.996-1.042; P=0.102309357)","1.106(95% CI:0.958-1.276; P=0.1678725373)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_HDL_C","Cholesterol in Medium HDL","BC","0.985(95% CI:0.858-1.129; P=0.8234456318)","0.982(95% CI:0.958-1.006; P=0.1417718801)","0.977(95% CI:0.836-1.142; P=0.7700067659)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_HDL_CE","Cholesteryl Esters in Medium HDL","BC","0.98(95% CI:0.855-1.124; P=0.7761957742)","0.981(95% CI:0.958-1.005; P=0.128477133)","0.972(95% CI:0.831-1.136; P=0.7181361868)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_HDL_FC","Free Cholesterol in Medium HDL","BC","0.999(95% CI:0.87-1.147; P=0.9921399514)","0.986(95% CI:0.962-1.01; P=0.2563224639)","0.993(95% CI:0.851-1.16; P=0.9326797448)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_HDL_PL","Phospholipids in Medium HDL","BC","1.014(95% CI:0.885-1.163; P=0.8371811093)","0.99(95% CI:0.967-1.014; P=0.3960259259)","1.02(95% CI:0.876-1.188; P=0.796141797)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_HDL_TG","Triglycerides in Medium HDL","BC","1.062(95% CI:0.928-1.215; P=0.3797372636)","1.012(95% CI:0.99-1.036; P=0.2903412612)","1.072(95% CI:0.925-1.242; P=0.3566866643)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_LDL_C","Cholesterol in Medium LDL","BC","0.964(95% CI:0.838-1.109; P=0.6077254567)","1.007(95% CI:0.984-1.03; P=0.573246485)","1.008(95% CI:0.865-1.174; P=0.9200471515)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_LDL_CE","Cholesteryl Esters in Medium LDL","BC","0.978(95% CI:0.849-1.125; P=0.7533482576)","1.009(95% CI:0.986-1.032; P=0.4454292044)","1.022(95% CI:0.876-1.192; P=0.7813959985)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_LDL_FC","Free Cholesterol in Medium LDL","BC","0.927(95% CI:0.808-1.063; P=0.279400324)","1(95% CI:0.977-1.022; P=0.9660966134)","0.966(95% CI:0.832-1.122; P=0.6523788353)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_LDL_PL","Phospholipids in Medium LDL","BC","0.961(95% CI:0.835-1.105; P=0.5753837395)","1.005(95% CI:0.982-1.028; P=0.6656066223)","1.002(95% CI:0.86-1.167; P=0.9784790399)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_LDL_TG","Triglycerides in Medium LDL","BC","1.094(95% CI:0.955-1.252; P=0.1947966428)","1.021(95% CI:0.997-1.044; P=0.0814342492)","1.091(95% CI:0.942-1.265; P=0.2446904968)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_VLDL_C","Cholesterol in Medium VLDL","BC","0.955(95% CI:0.832-1.097; P=0.5170560224)","1.005(95% CI:0.982-1.028; P=0.6771038813)","0.993(95% CI:0.854-1.155; P=0.9264291525)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_VLDL_CE","Cholesteryl Esters in Medium VLDL","BC","0.937(95% CI:0.817-1.074; P=0.3511654648)","1.001(95% CI:0.979-1.024; P=0.9193822572)","0.969(95% CI:0.834-1.125; P=0.6776161625)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_VLDL_FC","Free Cholesterol in Medium VLDL","BC","0.98(95% CI:0.852-1.127; P=0.776476804)","1.01(95% CI:0.987-1.033; P=0.4128943951)","1.022(95% CI:0.877-1.191; P=0.7786415518)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_VLDL_PL","Phospholipids in Medium VLDL","BC","0.997(95% CI:0.867-1.147; P=0.9675564017)","1.01(95% CI:0.987-1.034; P=0.3752256277)","1.039(95% CI:0.891-1.211; P=0.6285613271)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"M_VLDL_TG","Triglycerides in Medium VLDL","BC","1.06(95% CI:0.925-1.215; P=0.4034262689)","1.017(95% CI:0.993-1.041; P=0.1599040923)","1.114(95% CI:0.956-1.297; P=0.1668206395)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"MUFA","Monounsaturated Fatty Acids","BC","1.067(95% CI:0.925-1.232; P=0.3735160146)","1.02(95% CI:0.996-1.044; P=0.1058799286)","1.104(95% CI:0.944-1.29; P=0.2149858459)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"non_HDL_C","Total Cholesterol Minus HDL-C","BC","0.957(95% CI:0.83-1.103; P=0.5447367647)","1.005(95% CI:0.982-1.028; P=0.6794450919)","1.001(95% CI:0.859-1.166; P=0.9928700661)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Omega_3","Omega-3 Fatty Acids","BC","0.941(95% CI:0.811-1.092; P=0.4213544575)","0.995(95% CI:0.972-1.019; P=0.6967396372)","0.95(95% CI:0.81-1.115; P=0.5333993632)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Omega_6","Omega-6 Fatty Acids","BC","1(95% CI:0.867-1.154; P=0.9993531595)","1(95% CI:0.977-1.023; P=0.9941523483)","1.036(95% CI:0.888-1.209; P=0.6550369589)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Phe","Phenylalanine","BC","1.02(95% CI:0.887-1.171; P=0.7838524402)","0.999(95% CI:0.977-1.022; P=0.9611248438)","1.031(95% CI:0.881-1.205; P=0.7068873616)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Phosphatidylc","Phosphatidylcholines","BC","0.993(95% CI:0.857-1.15; P=0.9246261797)","0.998(95% CI:0.975-1.022; P=0.8727426634)","1.025(95% CI:0.878-1.197; P=0.7553779274)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Phosphoglyc","Phosphoglycerides","BC","0.995(95% CI:0.859-1.152; P=0.9462489511)","0.999(95% CI:0.976-1.023; P=0.963015257)","1.028(95% CI:0.88-1.2; P=0.7292281284)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"PUFA","Polyunsaturated Fatty Acids","BC","0.981(95% CI:0.846-1.137; P=0.7948715573)","0.998(95% CI:0.975-1.022; P=0.8778151949)","1.015(95% CI:0.868-1.187; P=0.8534825709)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Pyruvate","Pyruvate","BC","1.135(95% CI:1.009-1.277; P=0.0353484147)","1.022(95% CI:0.999-1.044; P=0.0586794148)","1.188(95% CI:1.042-1.355; P=0.0099049268)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Remnant_C","Remnant Cholesterol (Non-HDL and Non-LDL -Cholesterol)","BC","0.973(95% CI:0.843-1.122; P=0.7049961646)","1.006(95% CI:0.984-1.03; P=0.5819554303)","1.01(95% CI:0.867-1.178; P=0.8955577951)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_HDL_C","Cholesterol in Small HDL","BC","0.917(95% CI:0.8-1.052; P=0.2157618946)","0.992(95% CI:0.97-1.016; P=0.5212277641)","0.976(95% CI:0.838-1.137; P=0.7517688178)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_HDL_CE","Cholesteryl Esters in Small HDL","BC","0.905(95% CI:0.792-1.034; P=0.1413466704)","0.991(95% CI:0.969-1.014; P=0.4490701352)","0.965(95% CI:0.831-1.121; P=0.6415826475)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_HDL_FC","Free Cholesterol in Small HDL","BC","0.979(95% CI:0.847-1.131; P=0.7700124514)","0.998(95% CI:0.975-1.022; P=0.8601600397)","1.013(95% CI:0.867-1.184; P=0.8692299477)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_HDL_PL","Phospholipids in Small HDL","BC","0.979(95% CI:0.85-1.128; P=0.7724041475)","1.001(95% CI:0.978-1.024; P=0.9600143265)","1.035(95% CI:0.886-1.208; P=0.6680829322)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_HDL_TG","Triglycerides in Small HDL","BC","1.067(95% CI:0.931-1.222; P=0.3508670965)","1.021(95% CI:0.997-1.045; P=0.0867035947)","1.087(95% CI:0.934-1.266; P=0.2821576785)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_LDL_C","Cholesterol in Small LDL","BC","0.969(95% CI:0.843-1.114; P=0.662132015)","1.006(95% CI:0.984-1.029; P=0.5863600371)","1.009(95% CI:0.867-1.174; P=0.9095576689)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_LDL_CE","Cholesteryl Esters in Small LDL","BC","0.985(95% CI:0.856-1.133; P=0.8270598593)","1.008(95% CI:0.985-1.032; P=0.4806633726)","1.024(95% CI:0.879-1.192; P=0.7641037296)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_LDL_FC","Free Cholesterol in Small LDL","BC","0.929(95% CI:0.812-1.064; P=0.2889480336)","1.001(95% CI:0.979-1.023; P=0.9499313205)","0.965(95% CI:0.832-1.12; P=0.6407027679)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_LDL_PL","Phospholipids in Small LDL","BC","0.983(95% CI:0.855-1.129; P=0.8044065485)","1.01(95% CI:0.987-1.033; P=0.4041367951)","1.014(95% CI:0.872-1.179; P=0.8557824189)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_LDL_TG","Triglycerides in Small LDL","BC","1.097(95% CI:0.963-1.249; P=0.1622268509)","1.021(95% CI:0.998-1.045; P=0.0701615423)","1.104(95% CI:0.956-1.275; P=0.1797335781)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_VLDL_C","Cholesterol in Small VLDL","BC","0.976(95% CI:0.847-1.124; P=0.7351676164)","1.012(95% CI:0.989-1.036; P=0.2990157571)","1.006(95% CI:0.863-1.174; P=0.9350589668)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_VLDL_CE","Cholesteryl Esters in Small VLDL","BC","0.981(95% CI:0.852-1.13; P=0.7912667721)","1.014(95% CI:0.991-1.038; P=0.2433189037)","1.008(95% CI:0.863-1.176; P=0.9238495656)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_VLDL_FC","Free Cholesterol in Small VLDL","BC","0.969(95% CI:0.842-1.115; P=0.6598581172)","1.01(95% CI:0.987-1.033; P=0.4129691205)","1.005(95% CI:0.862-1.171; P=0.9537164165)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_VLDL_PL","Phospholipids in Small VLDL","BC","0.993(95% CI:0.862-1.144; P=0.9218845442)","1.013(95% CI:0.99-1.037; P=0.2569635435)","1.027(95% CI:0.88-1.198; P=0.7330924517)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"S_VLDL_TG","Triglycerides in Small VLDL","BC","1.079(95% CI:0.942-1.236; P=0.272530526)","1.022(95% CI:0.998-1.046; P=0.0712806779)","1.105(95% CI:0.95-1.284; P=0.1954543758)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"SFA","Saturated Fatty Acids","BC","1.052(95% CI:0.91-1.217; P=0.495014233)","1.017(95% CI:0.993-1.041; P=0.1579752869)","1.084(95% CI:0.928-1.265; P=0.3090439821)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Sphingomyelins","Sphingomyelins","BC","0.95(95% CI:0.823-1.096; P=0.4787844724)","0.996(95% CI:0.973-1.019; P=0.7211199935)","0.973(95% CI:0.834-1.136; P=0.7288166418)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Total_C","Total Cholesterol","BC","0.956(95% CI:0.83-1.102; P=0.536946825)","0.999(95% CI:0.977-1.023; P=0.9602137175)","0.996(95% CI:0.855-1.16; P=0.9606102344)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Total_CE","Total Esterified Cholesterol","BC","0.952(95% CI:0.827-1.097; P=0.4957547473)","0.998(95% CI:0.975-1.021; P=0.8696306019)","0.991(95% CI:0.851-1.154; P=0.9061817942)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Total_FA","Total Fatty Acids","BC","1.032(95% CI:0.89-1.197; P=0.6726979668)","1.012(95% CI:0.988-1.036; P=0.3206652433)","1.068(95% CI:0.913-1.25; P=0.4100182388)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Total_FC","Total Free Cholesterol","BC","0.965(95% CI:0.837-1.112; P=0.6223228051)","1.002(95% CI:0.979-1.025; P=0.8676471179)","1.003(95% CI:0.861-1.169; P=0.9679752211)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
