"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"HDL_CE","Cholesteryl Esters in HDL","BC","0.964(95% CI:0.858-1.083; P=0.536572307)","0.975(95% CI:0.954-0.996; P=0.0205387644)","0.958(95% CI:0.836-1.097; P=0.5313204812)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_FC","Free Cholesterol in HDL","BC","0.986(95% CI:0.874-1.112; P=0.8187112327)","0.983(95% CI:0.962-1.005; P=0.1234347455)","0.986(95% CI:0.86-1.131; P=0.8379016503)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_L","Total Lipids in HDL","BC","0.997(95% CI:0.884-1.125; P=0.9624762813)","0.985(95% CI:0.964-1.007; P=0.1889996897)","1.006(95% CI:0.877-1.153; P=0.9317961436)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_PL","Phospholipids in HDL","BC","1.01(95% CI:0.895-1.14; P=0.8748481501)","0.991(95% CI:0.97-1.013; P=0.4248031622)","1.023(95% CI:0.892-1.173; P=0.7442392099)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_TG","Triglycerides in HDL","BC","1.084(95% CI:0.962-1.221; P=0.1842048407)","1.034(95% CI:1.012-1.057; P=0.002316731)","1.112(95% CI:0.975-1.267; P=0.1137504831)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"His","Histidine","BC","1.011(95% CI:0.896-1.141; P=0.8573947112)","0.965(95% CI:0.943-0.988; P=0.0025741016)","1.082(95% CI:0.944-1.239; P=0.2578105515)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_C","Cholesterol in IDL","BC","0.95(95% CI:0.838-1.077; P=0.4212615835)","0.998(95% CI:0.976-1.02; P=0.8597515179)","0.975(95% CI:0.849-1.119; P=0.7173902396)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_CE","Cholesteryl Esters in IDL","BC","0.949(95% CI:0.837-1.076; P=0.4165668293)","0.998(95% CI:0.976-1.02; P=0.8545132927)","0.974(95% CI:0.848-1.118; P=0.7076569374)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_FC","Free Cholesterol in IDL","BC","0.943(95% CI:0.833-1.067; P=0.3497773779)","0.998(95% CI:0.977-1.02; P=0.8756204855)","0.963(95% CI:0.84-1.105; P=0.5956154015)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_PL","Phospholipids in IDL","BC","0.958(95% CI:0.844-1.087; P=0.5028524068)","1.002(95% CI:0.98-1.024; P=0.8669593968)","0.985(95% CI:0.858-1.132; P=0.833181815)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"IDL_TG","Triglycerides in IDL","BC","1.079(95% CI:0.954-1.221; P=0.2277483727)","1.042(95% CI:1.02-1.065; P=0.0002116459)","1.096(95% CI:0.96-1.252; P=0.1766886813)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Ile","Isoleucine","BC","0.981(95% CI:0.874-1.101; P=0.740790706)","1.028(95% CI:1.006-1.05; P=0.0115766804)","1.037(95% CI:0.908-1.185; P=0.5886386788)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_C","Cholesterol in Large HDL","BC","0.967(95% CI:0.861-1.086; P=0.571843897)","0.968(95% CI:0.947-0.99; P=0.0039538857)","0.944(95% CI:0.824-1.082; P=0.4109677554)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_CE","Cholesteryl Esters in Large HDL","BC","0.963(95% CI:0.858-1.081; P=0.5234032017)","0.967(95% CI:0.946-0.989; P=0.0028222377)","0.939(95% CI:0.819-1.077; P=0.366880212)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_FC","Free Cholesterol in Large HDL","BC","0.978(95% CI:0.87-1.1; P=0.7147067694)","0.973(95% CI:0.952-0.994; P=0.0134636152)","0.958(95% CI:0.835-1.099; P=0.540039147)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_PL","Phospholipids in Large HDL","BC","0.991(95% CI:0.881-1.113; P=0.87469952)","0.976(95% CI:0.955-0.997; P=0.0267128423)","0.974(95% CI:0.85-1.115; P=0.6994873794)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_HDL_TG","Triglycerides in Large HDL","BC","1.066(95% CI:0.942-1.206; P=0.31192367)","1.009(95% CI:0.987-1.031; P=0.4285404884)","1.07(95% CI:0.937-1.221; P=0.318048901)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_C","Cholesterol in Large LDL","BC","0.942(95% CI:0.832-1.068; P=0.3514043276)","1(95% CI:0.979-1.023; P=0.9690336343)","0.98(95% CI:0.853-1.125; P=0.772109038)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_CE","Cholesteryl Esters in Large LDL","BC","0.944(95% CI:0.833-1.07; P=0.3669913158)","1.003(95% CI:0.981-1.025; P=0.795006662)","0.984(95% CI:0.856-1.131; P=0.820121187)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_FC","Free Cholesterol in Large LDL","BC","0.93(95% CI:0.823-1.052; P=0.2489423301)","0.992(95% CI:0.971-1.014; P=0.497794973)","0.957(95% CI:0.834-1.098; P=0.5267623866)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_PL","Phospholipids in Large LDL","BC","0.951(95% CI:0.839-1.077; P=0.4272316173)","1.004(95% CI:0.982-1.026; P=0.7237437204)","0.982(95% CI:0.855-1.128; P=0.7983590957)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_LDL_TG","Triglycerides in Large LDL","BC","1.083(95% CI:0.957-1.225; P=0.2082107008)","1.042(95% CI:1.02-1.065; P=0.000184447)","1.1(95% CI:0.963-1.256; P=0.1612126375)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_C","Cholesterol in Large VLDL","BC","1.053(95% CI:0.936-1.185; P=0.3881896373)","1.03(95% CI:1.008-1.053; P=0.0080492461)","1.095(95% CI:0.957-1.252; P=0.1860587383)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","BC","1.037(95% CI:0.92-1.168; P=0.553217199)","1.025(95% CI:1.003-1.048; P=0.0267025734)","1.077(95% CI:0.941-1.233; P=0.2796233563)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_FC","Free Cholesterol in Large VLDL","BC","1.072(95% CI:0.956-1.202; P=0.2369304921)","1.034(95% CI:1.012-1.057; P=0.0025289268)","1.113(95% CI:0.976-1.269; P=0.1107959734)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_PL","Phospholipids in Large VLDL","BC","1.078(95% CI:0.962-1.208; P=0.1938179173)","1.035(95% CI:1.013-1.058; P=0.0016486972)","1.119(95% CI:0.982-1.275; P=0.0919816255)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"L_VLDL_TG","Triglycerides in Large VLDL","BC","1.087(95% CI:0.972-1.216; P=0.1429538083)","1.034(95% CI:1.012-1.057; P=0.0023273776)","1.134(95% CI:0.998-1.29; P=0.0542225938)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LA","Linoleic Acid","BC","0.989(95% CI:0.873-1.121; P=0.8680516063)","0.998(95% CI:0.977-1.021; P=0.8859302311)","1.029(95% CI:0.896-1.182; P=0.683964519)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Lactate","Lactate","BC","1.079(95% CI:0.962-1.21; P=0.192581236)","1.035(95% CI:1.011-1.058; P=0.0032135312)","1.123(95% CI:0.985-1.281; P=0.0834972432)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_C","LDL Cholesterol","BC","0.954(95% CI:0.842-1.082; P=0.4675628174)","1.006(95% CI:0.984-1.028; P=0.625817766)","0.992(95% CI:0.863-1.14; P=0.9110224575)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_CE","Cholesteryl Esters in LDL","BC","0.96(95% CI:0.846-1.089; P=0.5268873268)","1.009(95% CI:0.987-1.032; P=0.427530351)","1(95% CI:0.87-1.15; P=0.9947564383)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_FC","Free Cholesterol in LDL","BC","0.934(95% CI:0.825-1.056; P=0.2728789638)","0.995(95% CI:0.973-1.017; P=0.653704032)","0.961(95% CI:0.837-1.102; P=0.5668530338)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_L","Total Lipids in LDL","BC","0.962(95% CI:0.848-1.093; P=0.5531133873)","1.009(95% CI:0.987-1.032; P=0.4322512527)","1(95% CI:0.87-1.15; P=0.9999690346)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_PL","Phospholipids in LDL","BC","0.961(95% CI:0.847-1.089; P=0.5311071488)","1.008(95% CI:0.986-1.03; P=0.4867714232)","0.993(95% CI:0.864-1.141; P=0.9229124517)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"LDL_TG","Triglycerides in LDL","BC","1.086(95% CI:0.961-1.227; P=0.1867159229)","1.043(95% CI:1.021-1.066; P=0.0001446056)","1.106(95% CI:0.969-1.262; P=0.1370021237)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Leu","Leucine","BC","1.017(95% CI:0.908-1.14; P=0.7672400344)","1.028(95% CI:1.006-1.05; P=0.011229217)","1.082(95% CI:0.949-1.232; P=0.2385317607)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_C","Cholesterol in Medium HDL","BC","0.981(95% CI:0.872-1.104; P=0.7480215944)","0.986(95% CI:0.965-1.008; P=0.214180039)","0.986(95% CI:0.861-1.129; P=0.8374875881)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_CE","Cholesteryl Esters in Medium HDL","BC","0.978(95% CI:0.869-1.099; P=0.7056810831)","0.986(95% CI:0.964-1.007; P=0.1916380465)","0.981(95% CI:0.856-1.123; P=0.7795002198)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_FC","Free Cholesterol in Medium HDL","BC","0.992(95% CI:0.879-1.119; P=0.8926424449)","0.991(95% CI:0.97-1.013; P=0.4201001588)","1.001(95% CI:0.873-1.148; P=0.985189541)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_PL","Phospholipids in Medium HDL","BC","1.025(95% CI:0.908-1.157; P=0.6872352925)","1.003(95% CI:0.981-1.025; P=0.8093237334)","1.049(95% CI:0.915-1.202; P=0.4903237613)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_HDL_TG","Triglycerides in Medium HDL","BC","1.087(95% CI:0.967-1.222; P=0.1634946396)","1.035(95% CI:1.013-1.058; P=0.0018871664)","1.116(95% CI:0.98-1.271; P=0.0974405879)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_LDL_C","Cholesterol in Medium LDL","BC","0.976(95% CI:0.861-1.105; P=0.6973952014)","1.014(95% CI:0.992-1.037; P=0.2040922316)","1.012(95% CI:0.88-1.162; P=0.8707012244)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_LDL_CE","Cholesteryl Esters in Medium LDL","BC","0.99(95% CI:0.875-1.122; P=0.8795402823)","1.019(95% CI:0.997-1.042; P=0.0882840466)","1.028(95% CI:0.895-1.181; P=0.6945656391)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_LDL_FC","Free Cholesterol in Medium LDL","BC","0.935(95% CI:0.826-1.057; P=0.2825856327)","1(95% CI:0.978-1.022; P=0.9841555529)","0.962(95% CI:0.838-1.105; P=0.5841319453)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_LDL_PL","Phospholipids in Medium LDL","BC","0.97(95% CI:0.856-1.099; P=0.6360140999)","1.013(95% CI:0.991-1.035; P=0.2632194571)","1.005(95% CI:0.875-1.155; P=0.9434986003)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_LDL_TG","Triglycerides in Medium LDL","BC","1.089(95% CI:0.967-1.226; P=0.1617898588)","1.042(95% CI:1.02-1.065; P=0.0001655422)","1.107(95% CI:0.972-1.261; P=0.1256753782)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_VLDL_C","Cholesterol in Medium VLDL","BC","0.964(95% CI:0.852-1.09; P=0.5562745619)","1.005(95% CI:0.983-1.027; P=0.6637369751)","0.995(95% CI:0.867-1.142; P=0.9417288358)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_VLDL_CE","Cholesteryl Esters in Medium VLDL","BC","0.943(95% CI:0.834-1.066; P=0.3459260645)","0.996(95% CI:0.975-1.019; P=0.7531642932)","0.967(95% CI:0.843-1.109; P=0.6287873609)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_VLDL_FC","Free Cholesterol in Medium VLDL","BC","0.991(95% CI:0.875-1.121; P=0.8811332388)","1.016(95% CI:0.994-1.038; P=0.1670029626)","1.028(95% CI:0.896-1.18; P=0.6932877598)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_VLDL_PL","Phospholipids in Medium VLDL","BC","1.008(95% CI:0.891-1.14; P=0.898203871)","1.019(95% CI:0.997-1.042; P=0.0915068073)","1.046(95% CI:0.912-1.201; P=0.519746924)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"M_VLDL_TG","Triglycerides in Medium VLDL","BC","1.066(95% CI:0.949-1.198; P=0.2796219171)","1.033(95% CI:1.01-1.055; P=0.0039889245)","1.116(95% CI:0.977-1.274; P=0.1065858186)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"MUFA","Monounsaturated Fatty Acids","BC","1.073(95% CI:0.948-1.214; P=0.2635393228)","1.045(95% CI:1.022-1.068; P=0.0000925988)","1.124(95% CI:0.981-1.288; P=0.0920347849)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"non_HDL_C","Total Cholesterol Minus HDL-C","BC","0.969(95% CI:0.853-1.1; P=0.6244856889)","1.009(95% CI:0.987-1.032; P=0.419366181)","1.007(95% CI:0.876-1.158; P=0.9230896527)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Omega_3","Omega-3 Fatty Acids","BC","0.959(95% CI:0.839-1.096; P=0.5386640746)","1.004(95% CI:0.982-1.027; P=0.7177823416)","0.976(95% CI:0.844-1.129; P=0.7424522316)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Omega_6","Omega-6 Fatty Acids","BC","0.992(95% CI:0.872-1.128; P=0.8975371802)","1.004(95% CI:0.982-1.026; P=0.749068475)","1.037(95% CI:0.901-1.194; P=0.6112071503)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Phe","Phenylalanine","BC","1.036(95% CI:0.92-1.167; P=0.5606965854)","1.01(95% CI:0.988-1.032; P=0.3800753169)","1.031(95% CI:0.9-1.182; P=0.6589938843)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Phosphatidylc","Phosphatidylcholines","BC","0.996(95% CI:0.871-1.139; P=0.9550581458)","1.007(95% CI:0.985-1.029; P=0.5567059613)","1.044(95% CI:0.905-1.204; P=0.55326049)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Phosphoglyc","Phosphoglycerides","BC","1.001(95% CI:0.876-1.144; P=0.9909139562)","1.012(95% CI:0.989-1.034; P=0.3078615595)","1.05(95% CI:0.91-1.211; P=0.5068382081)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"PUFA","Polyunsaturated Fatty Acids","BC","0.978(95% CI:0.855-1.119; P=0.7506542915)","1.004(95% CI:0.981-1.027; P=0.7526232365)","1.024(95% CI:0.887-1.183; P=0.7474570728)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Pyruvate","Pyruvate","BC","1.143(95% CI:1.029-1.27; P=0.0130696977)","1.031(95% CI:1.01-1.053; P=0.0044050466)","1.194(95% CI:1.061-1.345; P=0.0033545893)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Remnant_C","Remnant Cholesterol (Non-HDL and Non-LDL -Cholesterol)","BC","0.984(95% CI:0.865-1.118; P=0.7994817676)","1.012(95% CI:0.99-1.035; P=0.2727773901)","1.02(95% CI:0.887-1.173; P=0.7837046728)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_HDL_C","Cholesterol in Small HDL","BC","0.955(95% CI:0.845-1.078; P=0.4555908854)","1.013(95% CI:0.991-1.035; P=0.2642323439)","1.01(95% CI:0.88-1.16; P=0.8850121527)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_HDL_CE","Cholesteryl Esters in Small HDL","BC","0.944(95% CI:0.837-1.064; P=0.3430452244)","1.01(95% CI:0.988-1.032; P=0.3711568431)","0.997(95% CI:0.869-1.143; P=0.9623314435)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_HDL_FC","Free Cholesterol in Small HDL","BC","1(95% CI:0.879-1.139; P=0.9980308845)","1.018(95% CI:0.996-1.041; P=0.1128390004)","1.048(95% CI:0.91-1.207; P=0.5140241227)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_HDL_PL","Phospholipids in Small HDL","BC","1.025(95% CI:0.906-1.16; P=0.6968063768)","1.028(95% CI:1.006-1.051; P=0.0129236978)","1.09(95% CI:0.95-1.251; P=0.2185915219)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_HDL_TG","Triglycerides in Small HDL","BC","1.084(95% CI:0.967-1.216; P=0.1658299706)","1.044(95% CI:1.022-1.067; P=0.0000912085)","1.118(95% CI:0.981-1.273; P=0.0942284073)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_LDL_C","Cholesterol in Small LDL","BC","0.974(95% CI:0.861-1.103; P=0.6826652067)","1.011(95% CI:0.989-1.033; P=0.3315417953)","1.006(95% CI:0.876-1.156; P=0.9296275974)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_LDL_CE","Cholesteryl Esters in Small LDL","BC","0.99(95% CI:0.874-1.121; P=0.8740496624)","1.016(95% CI:0.994-1.039; P=0.1578791193)","1.025(95% CI:0.892-1.177; P=0.7296966853)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_LDL_FC","Free Cholesterol in Small LDL","BC","0.933(95% CI:0.826-1.054; P=0.2629710683)","0.997(95% CI:0.975-1.019; P=0.7814665762)","0.953(95% CI:0.831-1.093; P=0.4921002508)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_LDL_PL","Phospholipids in Small LDL","BC","0.979(95% CI:0.864-1.108; P=0.7350658254)","1.012(95% CI:0.99-1.034; P=0.2895141247)","1.002(95% CI:0.873-1.151; P=0.9758602073)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_LDL_TG","Triglycerides in Small LDL","BC","1.092(95% CI:0.975-1.223; P=0.1263640748)","1.04(95% CI:1.019-1.063; P=0.0002634063)","1.117(95% CI:0.984-1.268; P=0.0877302252)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_VLDL_C","Cholesterol in Small VLDL","BC","0.991(95% CI:0.875-1.121; P=0.8833649568)","1.021(95% CI:0.999-1.044; P=0.0591025322)","1.019(95% CI:0.888-1.17; P=0.7879197281)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_VLDL_CE","Cholesteryl Esters in Small VLDL","BC","0.998(95% CI:0.882-1.128; P=0.9686278845)","1.024(95% CI:1.002-1.047; P=0.0322945134)","1.023(95% CI:0.891-1.175; P=0.7439868436)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_VLDL_FC","Free Cholesterol in Small VLDL","BC","0.979(95% CI:0.865-1.109; P=0.7433055667)","1.016(95% CI:0.994-1.039; P=0.155320037)","1.011(95% CI:0.88-1.16; P=0.8816074068)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_VLDL_PL","Phospholipids in Small VLDL","BC","1.002(95% CI:0.885-1.134; P=0.9746758781)","1.023(95% CI:1.001-1.046; P=0.0393705637)","1.035(95% CI:0.902-1.188; P=0.6238161266)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"S_VLDL_TG","Triglycerides in Small VLDL","BC","1.079(95% CI:0.96-1.212; P=0.2027641436)","1.039(95% CI:1.016-1.061; P=0.0006524538)","1.115(95% CI:0.977-1.272; P=0.1058095349)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"SFA","Saturated Fatty Acids","BC","1.069(95% CI:0.941-1.215; P=0.3076068934)","1.043(95% CI:1.02-1.066; P=0.00022078)","1.111(95% CI:0.967-1.275; P=0.136827384)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Sphingomyelins","Sphingomyelins","BC","0.952(95% CI:0.837-1.082; P=0.4479944902)","0.999(95% CI:0.978-1.022; P=0.9605845676)","0.973(95% CI:0.845-1.12; P=0.6985610431)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_C","Total Cholesterol","BC","0.959(95% CI:0.844-1.09; P=0.5220244125)","1.001(95% CI:0.979-1.023; P=0.9512913422)","0.996(95% CI:0.866-1.146; P=0.9576691377)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_CE","Total Esterified Cholesterol","BC","0.955(95% CI:0.841-1.084; P=0.4761563289)","0.999(95% CI:0.977-1.021; P=0.9175969329)","0.991(95% CI:0.862-1.139; P=0.8934221848)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_FA","Total Fatty Acids","BC","1.042(95% CI:0.914-1.188; P=0.5354014345)","1.033(95% CI:1.01-1.057; P=0.0045024354)","1.091(95% CI:0.947-1.256; P=0.2262094645)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_FC","Total Free Cholesterol","BC","0.968(95% CI:0.852-1.1; P=0.6189952815)","1.005(95% CI:0.983-1.027; P=0.6778553788)","1.005(95% CI:0.874-1.156; P=0.9437583499)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_L","Total Lipids in Lipoprotein Particles","BC","1.001(95% CI:0.878-1.142; P=0.9895284448)","1.017(95% CI:0.995-1.04; P=0.1329604125)","1.05(95% CI:0.911-1.21; P=0.5025520038)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_PL","Total Phospholipids in Lipoprotein Particles","BC","0.999(95% CI:0.876-1.14; P=0.9883470915)","1.011(95% CI:0.989-1.034; P=0.3441142312)","1.045(95% CI:0.907-1.205; P=0.5420924866)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Total_TG","Total Triglycerides","BC","1.087(95% CI:0.966-1.223; P=0.1665504612)","1.042(95% CI:1.019-1.065; P=0.0002505627)","1.127(95% CI:0.986-1.288; P=0.0800733108)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
